effectiveDate,Close,Open,High,Low,Volume,NBP_Rate,NBP_No
2022-07-22,4.692,4.692,4.696692,4.687308,1000000,4.692,141/A/NBP/2022
2022-07-25,4.6171,4.6171,4.6217171,4.6124829,1000000,4.6171,142/A/NBP/2022
2022-07-26,4.6222,4.6222,4.626822199999999,4.6175778,1000000,4.6222,143/A/NBP/2022
2022-07-27,4.7142,4.7142,4.7189141999999995,4.7094857999999995,1000000,4.7142,144/A/NBP/2022
2022-07-28,4.6952,4.6952,4.699895199999999,4.6905048,1000000,4.6952,145/A/NBP/2022
2022-07-29,4.6365,4.6365,4.641136499999999,4.6318635,1000000,4.6365,146/A/NBP/2022
2022-08-01,4.629,4.629,4.633628999999999,4.624370999999999,1000000,4.629,147/A/NBP/2022
2022-08-02,4.5984,4.5984,4.6029984,4.5938016,1000000,4.5984,148/A/NBP/2022
2022-08-03,4.6164,4.6164,4.621016399999999,4.6117836,1000000,4.6164,149/A/NBP/2022
2022-08-04,4.634,4.634,4.638634,4.629366,1000000,4.634,150/A/NBP/2022
2022-08-05,4.6024,4.6024,4.6070024,4.597797600000001,1000000,4.6024,151/A/NBP/2022
2022-08-08,4.6127,4.6127,4.617312699999999,4.6080873,1000000,4.6127,152/A/NBP/2022
2022-08-09,4.5919,4.5919,4.596491899999999,4.5873080999999996,1000000,4.5919,153/A/NBP/2022
2022-08-10,4.6112,4.6112,4.6158112,4.6065888,1000000,4.6112,154/A/NBP/2022
2022-08-11,4.5206,4.5206,4.525120599999999,4.5160794,1000000,4.5206,155/A/NBP/2022
2022-08-12,4.5459,4.5459,4.550445899999999,4.5413540999999995,1000000,4.5459,156/A/NBP/2022
2022-08-16,4.6282,4.6282,4.632828199999999,4.6235718,1000000,4.6282,157/A/NBP/2022
2022-08-17,4.6119,4.6119,4.6165119,4.6072881,1000000,4.6119,158/A/NBP/2022
2022-08-18,4.6468,4.6468,4.6514467999999995,4.6421532,1000000,4.6468,159/A/NBP/2022
