date,forecast_volatility_daily,forecast_volatility_annual
2025-01-01,0.1976075615159589,3.13692278974275
2025-01-02,0.2029153657309133,3.2211815695062884
2025-01-03,0.207985431342101,3.301666365934189
2025-01-06,0.21283675468905255,3.378678736567761
2025-01-07,0.2174858979421074,3.4524815977103427
2025-01-08,0.22194741386408856,3.5233059673098457
2025-01-09,0.22623417904140652,3.591356254838536
2025-01-10,0.23035765866793087,3.6568144646066854
2025-01-13,0.23432811937506717,3.7198435743353033
2025-01-14,0.23815480209324538,3.7805902792471926
2025-01-15,0.24184606378780024,3.8391872420542987
2025-01-16,0.245409494684786,3.8957549538598277
2025-01-17,0.2488520159988328,3.9504032855398705
2025-01-20,0.2521799620045803,4.003232790587022
2025-01-21,0.2553991494275694,4.054335806656638
2025-01-22,0.2585149364826629,4.103797392772709
2025-01-23,0.2615322733979327,4.151696131369701
2025-01-24,0.2644557458873242,4.198104818399713
2025-01-27,0.26728961274634827,4.243091060145586
2025-01-28,0.2700378385200432,4.286717791808715
2025-01-29,0.2727041220158454,4.3290437301368465
2025-01-30,0.2752919212943337,4.370123770139841
2025-01-31,0.27780447565953287,4.410009334174922
2025-02-03,0.2802448250812082,4.448748680266041
2025-02-04,0.2826158274095307,4.486387175378219
2025-02-05,0.28492017368397593,4.522967538438781
2025-02-06,0.28716040179052227,4.558530057138654
2025-02-07,0.28933890868196116,4.59311278192378
2025-02-10,0.29145796134373314,4.626751700072369
2025-02-11,0.2935197066608232,4.659480892327003
