date,forecast_volatility_daily,forecast_volatility_annual
2025-06-04,0.2606200672429196,4.137215307586177
2025-06-05,0.2606375856792661,4.137493404141767
2025-06-06,0.2606526728567896,4.137732905660046
2025-06-09,0.2606656663053918,4.137939170262093
2025-06-10,0.2606768566667921,4.13811681174217
2025-06-11,0.26068649421556095,4.1382698030859135
2025-06-12,0.2606947944712864,4.13840156556072
2025-06-13,0.26070194302904964,4.138515045397166
2025-06-16,0.26070809971745945,4.138612779795759
2025-06-17,0.2607134021781317,4.138696953749411
2025-06-18,0.2607179689473188,4.138769448962796
2025-06-19,0.26072190210908475,4.138831885970189
2025-06-20,0.26072528957970875,4.138885660399257
2025-06-23,0.2607282070746565,4.138931974195755
2025-06-24,0.26073071980229157,4.138971862510364
2025-06-25,0.2607328839223341,4.139006216851003
2025-06-26,0.26073474780177774,4.139035805019893
2025-06-27,0.2607363530964172,4.139061288282275
2025-06-30,0.2607377356822206,4.139083236151487
2025-07-01,0.2607389264574068,4.139102139121548
