Date,USD_PLN,USD_EUR,PLN_EUR_Rate,Open,High,Low,Close,Volume
2025-05-02,3.785267,0.88485,0.23376158141552497,0.23376158141552497,0.23399534299694047,0.23352781983410945,0.23376158141552497,1000000
2025-05-03,3.785864,0.88485,0.23372471911299508,0.23372471911299508,0.23395844383210807,0.2334909943938821,0.23372471911299508,1000000
2025-05-04,3.778453,0.88313,0.2337279304519601,0.2337279304519601,0.23396165838241204,0.23349420252150815,0.2337279304519601,1000000
2025-05-05,3.773195,0.88396,0.23427360632037306,0.23427360632037306,0.2345078799266934,0.2340393327140527,0.23427360632037306,1000000
2025-05-06,3.769103,0.88168,0.23392303155419208,0.23392303155419208,0.23415695458574626,0.23368910852263788,0.23392303155419208,1000000
2025-05-07,3.77618,0.884497,0.23423062459946295,0.23423062459946295,0.23446485522406238,0.2339963939748635,0.23423062459946295,1000000
2025-05-08,3.791372,0.89099,0.2350046368438655,0.2350046368438655,0.23523964148070933,0.23476963220702163,0.2350046368438655,1000000
2025-05-09,3.76205,0.888604,0.2362020706795497,0.2362020706795497,0.23643827275022924,0.23596586860887017,0.2362020706795497,1000000
2025-05-10,3.761969,0.888604,0.23620715641197468,0.23620715641197468,0.23644336356838663,0.2359709492555627,0.23620715641197468,1000000
2025-05-11,3.771417,0.89053,0.23612610326569564,0.23612610326569564,0.2363622293689613,0.23588997716242993,0.23612610326569564,1000000
2025-05-12,3.823396,0.901305,0.23573414838536214,0.23573414838536214,0.23596988253374748,0.23549841423697676,0.23573414838536214,1000000
2025-05-13,3.79015,0.89404,0.23588512328008124,0.23588512328008124,0.23612100840336128,0.23564923815680117,0.23588512328008124,1000000
2025-05-14,3.784201,0.894325,0.23633126253071654,0.23633126253071654,0.23656759379324724,0.23609493126818581,0.23633126253071654,1000000
2025-05-15,3.795229,0.89347,0.23541925928580332,0.23541925928580332,0.2356546785450891,0.23518384002651752,0.23541925928580332,1000000
2025-05-16,3.82418,0.895804,0.23424734191382204,0.23424734191382204,0.23448158925573584,0.23401309457190822,0.23424734191382204,1000000
2025-05-17,3.82373,0.895804,0.23427490957782063,0.23427490957782063,0.23450918448739844,0.23404063466824282,0.23427490957782063,1000000
2025-05-18,3.820951,0.893903,0.23394777896916238,0.23394777896916238,0.2341817267481315,0.23371383119019323,0.23394777896916238,1000000
2025-05-19,3.783298,0.89026,0.23531321085465645,0.23531321085465645,0.23554852406551108,0.2350778976438018,0.23531321085465645,1000000
2025-05-20,3.755648,0.885925,0.23589138279199753,0.23589138279199753,0.23612727417478951,0.23565549140920553,0.23589138279199753,1000000
2025-05-21,3.74476,0.882565,0.235679990172935,0.235679990172935,0.2359156701631079,0.23544431018276207,0.235679990172935,1000000
2025-05-22,3.76755,0.886425,0.23527889477246489,0.23527889477246489,0.23551417366723731,0.23504361587769243,0.23527889477246489,1000000
2025-05-23,3.746678,0.879504,0.23474235042349514,0.23474235042349514,0.23497709277391862,0.23450760807307164,0.23474235042349514,1000000
2025-05-24,3.746678,0.879504,0.23474235042349514,0.23474235042349514,0.23497709277391862,0.23450760807307164,0.23474235042349514,1000000
2025-05-25,3.736415,0.87934,0.2353432367657233,0.2353432367657233,0.235578580002489,0.23510789352895758,0.2353432367657233,1000000
2025-05-26,3.726507,0.87813,0.23564426418627418,0.23564426418627418,0.23587990845046042,0.23540861992208792,0.23564426418627418,1000000
2025-05-27,3.74735,0.88211,0.2353956796135936,0.2353956796135936,0.23563107529320715,0.23516028393398,0.2353956796135936,1000000
2025-05-28,3.77295,0.890225,0.23594932347367448,0.23594932347367448,0.23618527279714813,0.2357133741502008,0.23594932347367448,1000000
2025-05-29,3.727345,0.87891,0.23580054972104808,0.23580054972104808,0.2360363502707691,0.23556474917132703,0.23580054972104808,1000000
2025-05-30,3.746156,0.881245,0.23523980314754642,0.23523980314754642,0.23547504295069394,0.23500456334439887,0.23523980314754642,1000000
2025-05-31,3.746156,0.881245,0.23523980314754642,0.23523980314754642,0.23547504295069394,0.23500456334439887,0.23523980314754642,1000000
2025-06-01,3.759507,0.88095,0.23432593688480963,0.23432593688480963,0.2345602628216944,0.23409161094792483,0.23432593688480963,1000000
2025-06-02,3.716568,0.873199,0.23494767215344908,0.23494767215344908,0.2351826198256025,0.23471272448129563,0.23494767215344908,1000000
2025-06-03,3.754051,0.87843,0.2339952227606924,0.2339952227606924,0.23422921798345306,0.23376122753793172,0.2339952227606924,1000000
